method,auc_mean,auc_std,ap_mean,ap_std,val_auc_mean,runs
baseline,0.8756519433019285,0.007245226436323879,0.8200851908387572,0.012789686754106501,0.8753662928584365,5
dropedge,0.8796458868021902,0.011090437327358415,0.8304134102335923,0.015253595795372601,0.8795821151105411,5
fixed_remove,0.8734416103101813,0.012503545936967944,0.8245976890710462,0.026521258648988154,0.8746387013865865,5
